"bernie, aunt, uncle, real, stuart, welfare, cuban, invent, mentor, product, commercial, pose, estate, co, worker, deal, mace, grandma, money, dream"
"sao, jewel, submit, leon, precious, disguise, principal, hate, pretend, resource, refuge, sibling, belong, threat, convince, steal, college, control, crime, mysterious"
"shamsher, malti, police, grandmother, brother, family, marry, believe, dead, illegitimate, dreaded, daughter, lovely, bring, chair, cripple, thakur, wheel, girl, smuggler"
"singh, sher, raghuveer, bahadur, police, aarti, ganga, repent, bandit, vijay, kill, duty, suraj, complaint, shun, doctor, enrage, surrender, pas, alias"
"gang, sister, outfit, rally, knee, bikers, fight, hideout, wit, syndicate, raid, badly, sort, prostitute, gather, lord, experiment, torture, subject, various"
"discover, identity, agent, truth, real, turkish, name, shatter, intelligence, assignment, english, double, agency, russian, adopt, german, service, kid, raise, eventually"
"process, mother, mafia, market, fire, father, kill, rescue, officer, leader, mahesh, babu, jaw, trainer, police, death, injustice, physically, emotionally, fighting"
"champion, team, player, level, oppose, match, call, release, destroy, january, item, tower, surrender, objective, lane, league, refer, specific, reward, rumor"
"vijay, kiran, pooja, saxena, bobby, unmarried, kidnapper, police, culprit, marries, advocate, enters, assailant, humiliate, secure, obstacle, intend, clue, minister, represent"
"team, bodyguard, kidnapping, operative, force, sweep, lead, panic, betray, feed, fbi, elite, wave, mexico, citizen, assassin, agency, burn, period, world"
"suraj, shankar, gauri, singh, inspector, name, slum, injustice, rape, bombay, multiple, live, vow, avenge, police, aid, mother, alive, result, attempt"
"geeta, ravi, mute, attract, woman, khanna, kapoor, child, swim, patrol, plain, alike, look, lake, nearby, adopt, estate, separate, mom, intimate"
"war, hero, victory, power, clash, choose, unique, battle, head, immortal, faction, fantastic, mobile, expand, skilled, strategy, troop, lead, civilization, brink"
"rocky, smash, educate, name, girl, gang, love, marry, vivek, hand, pratap, appreciate, mechanic, rowdy, shopping, mall, qualify, contrast, grade, advise"
"guy, government, bad, vishal, brother, mobile, helpless, fist, iron, bump, father, ravi, retired, mafia, eliminate, elder, tough, honest, employee, ordinary"
"arjun, indian, minister, terrorist, army, apprehend, home, hostage, major, arm, kill, release, government, join, action, sultan, renegade, bodyguard, police, alarm"
"network, rating, player, judgment, objective, weekly, adjust, schedule, sweep, frustration, superior, purchase, thrill, profit, compete, recover, computer, mistake, television, major"
"save, decision, retreat, complex, tough, violent, violence, guy, trip, life, friend, drug, search, include, fight, prof, found, kill, busy, script"
"architect, ac, league, team, rank, player, data, confront, bottom, match, defeat, battle, fortunately, confronts, qualify, assemble, ban, tactic, participant, opponent"
"kishan, singh, khurana, witness, police, raja, career, bombay, thief, corrupt, decide, continue, ranjit, rom, revolt, broad, refuge, trade, region, locate"
"monastery, humiliate, shaolin, karate, sooner, foreigner, dirty, territory, ring, china, champion, pull, martial, master, teach, kid, violence, enter, short, guy"
"route, alien, level, helicopter, improve, wipe, tech, check, try, fly, weapon, pick, fire, enter, enemy, choose, path, reach, shoot, game"
"sport, jump, planet, step, jaw, dirt, leap, compound, surf, bike, stunt, toy, deeper, trick, drop, monster, tough, none, crash, serious"
"father, kick, impress, championship, source, box, front, girl, guy, rich, love, garage, brother, fight, insult, fond, antic, accepts, habit, boxer"
"ticket, send, adventurous, mother, curious, aunt, purchase, illness, flight, slowly, businessman, terrorist, buy, nature, develop, famous, plot, due, bear, middle"
"shin, bo, companion, tae, wang, kindness, jo, furious, bunch, kingdom, kill, massacre, people, china, guard, ten, king, hear, instead, revenge"
"dog, assassin, arcade, cute, reclaim, comrade, explode, pit, epic, score, cat, extreme, settle, ve, push, violence, rescue, rule, adventure, mission"
"roberts, charlie, steve, dr, thwart, death, deception, thinking, urge, suspicious, scientific, mob, funeral, suppose, quick, disappearance, pretty, thug, development, associate"
"mob, city, quarter, mafia, police, control, trading, edward, people, alcohol, fbi, chicago, unit, illegal, target, player, rival, investigation, main, enter"
"night, underground, light, mysterious, arena, substance, noir, fight, rite, discipline, shark, suburb, glory, loan, atmosphere, policeman, background, factory, fame, sport"
"russian, council, accountant, crook, mafia, half, steal, laundry, money, cole, conspire, branch, obtain, suggest, ambition, budget, brilliant, undercover, bed, fortune"
"raj, step, ganga, kiran, wrath, bump, greedy, mouse, landlord, district, angry, thanks, cat, extreme, respect, decides, support, trouble, village, game"
"chicago, murdered, terry, branch, rookie, raid, conspiracy, mob, policeman, own, bomb, hat, undercover, count, monster, slowly, serious, chief, target, else"
"diamond, nick, sierra, hide, prison, regret, cell, michael, day, extended, precious, reflection, punishment, heist, afraid, cancer, australia, live, sentence, finish"
"cia, bank, robber, treatment, aaron, breast, mother, culprit, income, afford, prisoner, recruit, cancer, loose, rob, gain, trust, low, consider, promise"
"ali, bank, ransom, abduct, kidnapper, child, considerable, albeit, chairman, apprehend, kidnapping, commissioner, loved, display, retirement, successfully, robber, compromise, customer, upside"
"scroll, crane, grandpa, fan, white, protect, merchant, antique, taiwan, entrust, curious, annual, obtain, suggest, upcoming, fulfill, treasure, hometown, festival, wish"
"mercenary, former, helicopter, severely, pilot, anger, buddy, rap, friend, rid, chief, operation, beat, refuse, involve, living, visit, deal, girlfriend, drug"
"sal, seok, tae, player, game, hermit, joint, brother, seal, infamous, circle, eliminate, trick, associate, frame, inner, stake, vow, lord, sentence"
"ravi, vishal, event, hand, dismay, integrity, expel, insult, mother, till, helpless, rate, shoe, worldwide, henchman, declare, lust, fee, property, shelter"
"ranch, contract, mafia, sign, jail, beaten, wife, learns, mexican, cost, demand, outside, justice, refuse, able, leader, revenge, visit, seek, escape"
"hawk, magician, leon, agent, awaken, argentina, marcos, mission, special, send, drug, kit, luis, distribute, outcome, name, world, latin, infiltrate, profession"
"tech, police, weapon, action, robot, karl, unstoppable, lab, hideout, enforcement, rat, humble, warehouse, demonstrate, seize, debut, ryan, bullet, hair, explosive"
"jake, abu, leon, spiritual, thailand, jessica, cia, arrange, sarah, contact, kidnap, ransom, girl, physical, security, meeting, united, arm, army, spirit"
"bone, calvin, blue, michelle, bikers, bear, red, south, tax, town, carolina, run, biker, motorcycle, sheriff, money, tom, bill, local, name"
"adam, betrayal, hero, bos, government, crime, action, hamilton, mastermind, victoria, wife, jonathan, stephen, suspense, reputation, thug, hostage, notorious, count, ruthless"
"pil, seok, tae, ho, wang, funeral, fighting, organize, development, hometown, friend, embark, difficult, direct, investigation, detective, investigate, project, suspect, land"
"harry, employer, guarantee, mom, save, sharma, kapoor, wage, anxious, please, instruct, captive, alias, promote, safety, scheme, singh, increase, activity, freedom"
"resign, sharma, casino, revolt, persistent, police, albert, ajay, smuggler, injustice, superior, warning, customer, elderly, assist, treat, senior, family, region, rural"
"samurai, japan, wage, defender, wreak, fight, unconventional, havoc, ash, tactic, forge, invade, victory, conquer, empire, warrior, population, legendary, freedom, tradition"
"gang, school, evade, idol, menace, inadvertently, hood, nasty, bully, policeman, constantly, fame, neighborhood, david, ten, voice, hour, deadly, mission, blood"
"terrorist, bomb, unit, minister, st, train, army, capture, celebration, intelligence, russian, president, guide, service, special, re, base, include, hopefully, assemble"
"treasure, gang, top, hide, rd, grade, dig, buddy, stick, goal, legend, bar, strong, military, cover, inside, middle, able, form, base"
"thai, angeles, america, struggle, pat, town, racing, define, thailand, pace, dub, hip, province, block, coast, maintain, affect, traditional, value, west"
"alive, weaponry, child, covert, carl, tick, macabre, skilled, clock, operative, waste, obstacle, awaken, bury, highly, increase, quiet, mistake, phone, message"
"prisoner, officer, escape, tight, runaway, colony, map, strict, unlike, weave, regime, apparently, unravel, rush, profit, bitter, captain, stake, food, weapon"
"rio, nico, racer, race, edward, beautiful, champion, violent, scene, monty, chelsea, cocky, indonesia, priority, intricate, bodyguard, latter, blossom, mobster, racing"
"wwf, wrestling, wrestler, match, air, activity, week, feature, event, series, civic, past, cable, etc, wrestle, promotion, jonathan, superstar, segment, review"
"government, johnny, nation, rally, bandit, label, devote, fighter, attract, tragedy, attention, enemy, fate, act, boy, country, dream, change, name, knife"
"anderson, zombie, lab, create, antidote, ravage, holocaust, left, june, infect, evolve, cure, nuclear, restore, nick, impossible, monster, scheme, technology, embark"
"spider, criminal, viktor, head, alpha, daughter, wife, execute, syndicate, squad, contract, investigator, mask, organize, mafia, undercover, root, department, killing, spot"
"foster, duke, county, object, player, home, help, local, compound, unlock, square, roam, orphanage, shut, fund, lee, debt, site, price, locate"
"lab, protagonist, control, planet, stranger, crystal, counterpart, bring, life, corporation, alien, ad, rebel, corporate, profit, awaken, ruthless, experiment, sacrifice, perform"
"expel, brother, belonging, hacker, millionaire, look, device, scale, lust, nuclear, construction, intelligence, position, steve, particular, agency, explain, document, race, plot"
"jo, sydney, fly, honor, pilot, country, tough, dream, ultimate, female, woman, aircraft, miraculously, exercise, permit, invitation, girl, academy, obtain, rely"
"priest, sacred, mark, power, town, noir, learning, flees, entity, carlos, masked, disguise, learns, kill, earlier, greed, afford, advantage, pride, debt"
"close, drake, apocalyptic, morale, infected, lt, integrity, rebellion, reckless, insanity, horde, total, rogue, resolve, threat, post, task, test, hide, reason"
"sinha, judge, honest, dad, police, temper, confident, shady, limit, opposite, behavior, accidentally, activity, assign, imagine, shock, violent, hot, cross, arrest"
"fighter, recreate, orlando, argentina, regardless, alliance, spain, participate, russia, tournament, championship, technique, intend, prize, grandmother, mexico, china, brutal, master, demon"
"bag, airport, congo, scottish, pound, belt, otherwise, valuable, excitement, intelligent, suggest, content, onto, stake, arrival, central, friend, mistake, cost, pick"
"mankind, passage, key, earth, human, war, enslave, impending, fight, forge, invasion, realm, alongside, learns, demonic, universe, redemption, bride, ahead, brave"
"killer, war, captor, falsely, assistance, skilled, kill, empire, sentence, lord, assign, seven, information, quest, promise, master, receive, prison, arrest, remain"
"school, headmaster, girl, rip, transfer, training, politician, apart, private, special, soon, pimp, undergo, educate, supply, sweet, family, responsible, discovers, rich"
"devil, flourish, carve, brother, unstoppable, forge, mysteriously, brink, lethal, destruction, rare, sweet, epic, possess, blind, beauty, promise, enter, violence, threaten"
"pure, emotion, enemy, rise, strengthen, discipline, outcast, strip, heavily, amongst, strand, smoke, rank, access, destiny, ruin, world, cold, mountain, trap"
"ability, method, experiment, baby, runaway, involve, politician, bear, special, manipulation, gene, vice, publish, provoke, april, stress, file, possession, ambition, facility"
"race, win, crooked, migrate, mighty, injure, annual, employ, devastate, method, family, rural, circumstance, traditional, incident, perform, refuse, accident, chance, five"
"toilet, marco, heroin, york, mob, war, bloody, japanese, rise, swallow, sleazy, muscle, commando, cyber, decipher, yakuza, pound, karate, tokyo, punk"
"joshua, treasure, invite, island, partner, cannibal, inhabit, death, lost, guilt, previous, corner, plague, link, danger, mark, survival, race, hunt, prove"
"jaswant, raju, nagar, shanti, befriend, considerable, left, kumar, taxi, captain, peter, indian, driver, arm, army, hire, killer, khurana, attempt, tender"
"mace, lifetime, stick, time, modern, hint, penchant, technical, alternate, incredibly, tire, massive, multiple, version, simply, doubt, knowledge, web, solve, seemingly"
"santiago, hostage, alex, store, neighborhood, absolutely, deadline, police, surrender, junior, owe, collective, climax, bullet, wound, corner, debt, richard, rob, luck"
"brother, dad, nagar, uncovers, forgive, goon, bottom, celebration, construction, revolve, homeless, birthday, resident, faith, rock, thousand, hop, army, kidnap, rescue"
"security, afghan, thirteen, integrity, police, significant, honesty, notion, counter, force, strict, afghanistan, promote, address, elite, corruption, combat, unit, duty, contemporary"
"mexican, lucia, arch, sergio, bishop, caught, tribute, loved, execute, greed, kong, hong, swear, corruption, sam, ruthless, cinema, avenge, lord, robert"
"dragon, prisoner, escape, skull, fugitive, vengeful, surrender, set, orphanage, riot, hook, kong, population, chinese, authority, bond, chaos, security, chief, jail"
"duke, kid, paul, street, police, territory, gang, deal, investigation, leader, drug, notorious, brother, disappear, kill, trouble, dangerous, visit, riley, cocaine"
"ki, jong, gang, land, politician, southern, south, political, criminal, join, pa, developer, korea, behalf, fight, entangle, height, presidential, currently, waste"
"arjun, acknowledge, brother, oppression, delight, police, dictator, raja, horrify, distant, ceremony, kill, duo, employ, arrange, nor, duty, thief, none, region"
"julian, horse, eventually, playboy, learning, precious, habit, escalate, gamble, kill, bloody, vow, lady, player, rival, door, violence, affair, instead, final"
"woo, lee, bridge, reporter, truth, jin, hint, november, explosion, haven, intent, dig, hair, hometown, occur, key, document, front, fellow, news"
"reject, power, effect, baby, join, series, stormy, fateful, dub, unite, conquer, prince, navigate, ally, divide, prime, storm, planet, nearly, world"
"king, terminal, tournament, combat, intend, match, underground, kill, enslave, promoter, ban, greedy, retirement, max, usually, exact, william, retire, ring, champion"
"anne, mountain, follow, public, publicity, stalker, acting, perpetrator, sorrow, expedition, remove, assault, horrific, independent, park, message, air, thriller, completely, sexual"
"weapon, device, track, mission, lara, logan, specialist, mass, max, capable, destruction, nuclear, plant, joe, anti, terrible, locate, assign, organization, jack"
"threat, weapon, fighter, world, system, destroy, erupt, call, advanced, blast, wasn, rag, sky, people, unleash, restore, devastate, eliminate, own, sight"
"kane, morgan, william, save, ethan, tail, utilize, kingpin, scott, daniel, employ, option, fbi, try, dirty, clean, underworld, double, ill, family"
"technology, engineer, medium, company, car, american, dream, karma, compare, innovative, status, destruction, failure, bus, budget, green, development, ambitious, establish, aim"
"cage, fight, chance, team, darker, pro, semi, death, enters, vicious, financial, count, sport, fighter, stranger, answer, near, line, deadly, stand"
"peter, book, miguel, jack, martial, miriam, art, secret, manila, commando, entrust, ransom, bruce, seize, academy, tournament, technique, kong, hong, compete"
"cell, jail, bos, cocky, scam, bet, girl, false, betray, complicate, friend, pick, bar, charge, throw, successful, guy, criminal, involve, revenge"
"daniel, ramesh, boxer, brother, inspector, eye, love, win, mohan, stepfather, hammer, nemesis, mother, crook, sole, motive, hook, loser, hate, exploit"
"bruce, evil, repent, past, city, acceptance, surrender, salvation, addiction, painful, endure, embrace, shadow, thief, ruthless, purpose, trial, priest, truly, pursue"
"egypt, fight, francis, arena, spark, performance, fan, cain, carrie, closet, footstep, perfectly, lend, prompt, boxer, asian, weight, father, sensitive, kung"
"jack, bounty, miguel, brett, devil, bold, dare, obsession, past, hunter, target, capture, partner, reach, hope, late, little, santiago, jorge, reward"
"ex, officer, aircraft, resolution, embassy, grim, sa, prospect, residence, diamond, realise, patrick, colonel, seize, boat, command, brilliant, quick, worth, intense"
"david, lara, murder, jenny, express, bent, attractive, jump, frame, assassin, exchange, willing, attract, uncle, feeling, co, brutal, hell, fire, worker"
"thug, ruin, scorpion, pen, caught, valuable, inmate, training, vicious, fiance, unusual, ruthless, pack, cost, mountain, brutal, poor, crazy, strong, prison"
"tyler, game, freedom, win, accomplish, navy, seal, civilian, rick, zone, obtain, massacre, foreign, ruthless, sentence, security, world, wake, nature, brutal"
"raju, vishal, dare, stand, sister, police, ram, whenever, name, elusive, severely, oppose, bombay, arrange, inform, background, influence, region, station, inspector"
"niharika, tony, goon, rakesh, kill, jr, memory, family, lose, bunch, flashback, bullet, dump, temple, people, undercover, minister, love, engage, terrorist"
"priya, vijay, dad, tell, promise, news, baby, hospital, marriage, parent, boy, house, hearing, fence, depressed, bring, fix, slip, photographer, difference"
"cop, detective, hooker, gallery, heist, diamond, male, lead, york, involve, beautiful, jewelry, jewel, entangle, deception, apprehend, deceit, heritage, retirement, verge"
"empire, firm, brother, vendetta, intimidate, nightclub, terrorize, household, ahead, vicious, clue, except, brutally, fun, gangster, door, view, worker, claim, violence"
"team, race, series, racer, dedicated, racing, strive, aka, championship, screen, chris, shop, range, season, pack, passion, cast, band, bos, watch"
"wicked, ravi, cry, honest, shekhar, chandra, resign, latter, mouse, cat, factory, succeed, hear, justice, officer, revenge, doesn, game, husband, play"
"wolf, invasion, little, zombie, red, army, stop, claw, pig, heroine, fairy, horde, hood, leg, bite, prince, charm, brain, grandmother, combat"
"drake, harvest, greece, return, device, alien, possession, assume, adam, eliminate, engineer, material, population, period, player, soldier, united, earth, role, investigate"
"lynn, vs, jerry, title, match, mikey, sandman, tag, justin, chair, tommy, ladder, anderson, matthew, ball, diamond, simon, quit, danny, van"
"diamond, desert, briefcase, nevada, western, middle, franco, foil, nonsense, mobster, comical, format, complicated, sixty, purchase, vega, advantage, globe, via, fbi"
"movie, violent, family, oppression, extent, marco, provincial, metropolis, contrast, essence, pace, shatter, backdrop, sibling, corruption, defend, alex, extreme, assassin, world"
"unit, colonel, especially, mission, tate, franco, convert, daughter, rowdy, rider, discipline, claire, flirt, horse, division, instructor, ann, commander, mention, spain"
"hero, rival, martial, expert, send, rice, ace, fight, kung, hurt, fu, temple, anger, corrupt, succeed, skill, ready, beat, teacher, style"
"victor, michael, physically, learns, mentally, terrorize, vacation, russian, europe, torture, summer, suddenly, lie, hide, guy, hit, close, travel, realize, head"
"prison, grandson, senator, john, electric, lt, vet, gulf, name, inmate, wilson, manages, sadistic, infamous, convict, ensue, murderer, california, desert, guard"
"korean, betray, associate, track, arrest, hour, criminal, loot, call, city, importantly, hole, eastern, pride, mob, table, dog, lord, finish, responsible"
"tank, mexican, terrorist, ultra, cuban, habit, commander, comfortable, invasion, dozen, retrieve, soviet, multi, duty, frank, border, earn, super, succeed, shot"
"andrew, arm, egyptian, egypt, wwii, equipment, ali, volunteer, closer, kim, corporation, danny, spy, debt, china, agency, emerge, dealer, businessman, security"
"apocalypse, power, earth, dark, stop, playing, bless, chosen, preacher, mortal, rider, assemble, senator, exile, conquer, forth, pit, heal, sight, combat"
"vijay, pooja, raja, charge, principal, satyaprakash, inspector, gangster, custody, molest, kill, police, witness, college, love, priya, stop, sister, local, engineering"
"josh, foil, outlaw, biker, jesus, robbery, store, gang, fight, earthquake, foe, salesman, worthy, flash, decline, home, murderous, sale, sky, wonder"
"blake, impressive, nemesis, realistic, setting, interaction, sneak, roam, strip, fighting, henry, climb, broken, diverse, jump, combat, environment, defeat, huge, skill"
"anarchy, ivan, supreme, underbelly, wannabe, kingpin, larry, deeper, showdown, reign, slip, betrayal, sam, bloody, murderer, ruthless, avenge, california, beach, common"
"jack, riley, dead, past, crumble, counselor, relentless, broken, fbi, mob, shy, crash, danger, step, track, protect, killer, life, drug, team"
"murderer, film, catch, real, falsely, rejection, press, accuse, fund, constant, reporter, angel, complete, various, cover, protect, shoot, fear, body, break"
"cheng, tycoon, assassinate, imprison, wealth, property, kong, hong, bitter, official, mistake, jail, manager, organization, desperate, international, rule, release, criminal, meanwhile"
"casper, janet, logan, manager, answer, soap, unsure, bodyguard, label, friends, handle, love, singer, guide, record, lie, convince, boyfriend, company, future"
"cycle, yan, dynasty, communist, victory, bo, kai, representative, li, democratic, death, rate, circle, worry, vicious, theme, jump, creative, balance, china"
"lt, club, manila, besides, fancy, lieutenant, blackmail, father, showdown, confrontation, dancer, farmer, sexy, ultimate, fun, birth, king, pass, instead, refuse"
"fault, decade, rider, persona, civilian, gift, world, extraordinary, land, situation, don, mind, travel, power, die, begin, kill"
"amar, sharda, farmer, honest, singh, farm, sugar, pratap, nath, shade, modest, thakur, demise, robin, hood, commitment, kill, compel, upside, remove"
"vehicle, game, unique, competitive, strategy, map, variety, player, military, mind, battle, bunker, war, keen, mode, tide, tank, blast, soundtrack, toy"
"yakuza, bos, thirst, assassinate, outcast, confrontation, disturb, assignment, guard, consequence, tragic, trap, capture, final, deadly, revenge, evil, attempt, daughter, lead"
"player, gun, top, fly, navy, sky, combat, air, battle, base, shooter, mode, sixteen, relive, blast, graduation, zone, scale, ocean, thrill"
"mine, miner, mining, malcolm, tunnel, versus, brother, standing, dimension, joseph, moral, loyalty, narrative, revolve, africa, gold, tension, region, businessman, underground"
"farm, cartel, desolate, kidnapping, slave, imprison, engineer, nurse, estate, brutal, front, united, train, identity, international, boyfriend, lover, sex, appear, arrive"
"student, satellite, criminal, past, fierce, rip, medicine, spy, monster, link, crash, strike, earth, teacher, line, cause, able, government, future, themselves"
"french, organization, supporter, specialist, acquire, independence, resource, defend, whatever, martial, strike, allow, arm, instead, rule, destroy, dangerous, agent, art, seek"
"nina, johnny, mma, mixed, championship, anger, past, fighter, issue, former, riley, school, joshua, sandra, greet, pierre, nerd, wong, thrust, fight"
"kajal, avenge, brother, witness, kill, refuse, prison, killer, student, industrialist, police, testify, set, death, wife, advocate, dismiss, subsequent, protest, pet"
"visual, effect, action, town, ravage, highway, emotionally, entirely, boundary, odds, mine, destruction, budget, incredible, green, screen, pack, shot, field, survival"
"suraj, raja, nagar, ki, inspector, frustrate, attempt, gangster, verma, slum, confess, song, honest, region, world, dad, ready, father, friendship, destroy"
"departure, emperor, cold, master, door, six, blood, power, absorb, brew, absolute, disappears, divine, palace, assassinate, iron, subsequently, opponent, lethal, di"
"crime, jimmy, drug, dante, cartel, pawn, miami, expand, deception, solace, florida, empire, bombay, arrange, underworld, foreign, lord, priest, freedom, south"
"clan, yakuza, bos, murder, investigate, escape, serum, expel, chairman, accepts, billion, imprison, wealth, lost, disappearance, fiance, blame, underworld, regard, japanese"
"halo, saga, chief, master, planet, john, create, wake, film, replacement, darker, breed, scream, aside, petty, start, clip, torn, sinister, ship"
"sammy, cross, swamp, hoping, louisiana, grown, daughter, broad, semi, pro, bay, fifty, triangle, deceit, rogue, afraid, texas, grand, veteran, fund"
"chang, wai, chen, fan, ming, pan, li, henchman, expert, name, yu, import, brother, fight, jade, thailand, kung, resolve, fu, help"
"karate, iran, approach, art, namely, practical, iranian, qualify, instructor, uk, cycle, probably, narrate, require, usa, flight, training, incredible, pilot, defend"
"bunker, ranger, special, unit, force, renegade, comrade, fictional, operative, vietnam, operate, kim, squad, torn, engineer, southern, wood, north, ghost, fellow"
"destine, agent, assemble, exciting, crack, smoke, universe, actual, welcome, blue, frank, occur, president, drink, story, truly, time, actually, investigate, project"
"elevator, level, move, float, screen, collect, solar, tank, bit, third, avoid, ride, enter, enemy, center, cross, re, time"
"saint, row, trailer, mayhem, qv, hell, release, agent, june, entry, set, corporation, cinematic, universe, game, feature, event, character, lead"
"resistance, preserve, peace, fight, pablo, sergio, amid, slave, traffic, unite, people, destruction, unleash, massive, clash, ensue, legacy, live, revolution, chaos"
"nancy, computer, deliver, security, plan, anticipate, madman, fury, utilize, specialist, valuable, devise, showdown, sadistic, corporation, brilliant, bitter, somehow, organization, trust"
"aditya, ravi, ram, beg, street, child, run, self, land, business, sharma, burst, cage, fight, tycoon, mother, verma, ugly, wine, father"
"hacker, heist, jake, private, rookie, agenda, retrieve, climax, explosive, betrayal, jump, paper, score, computer, hidden, office, investigation, lie, rescue, bos"
"kick, daughter, operation, bad, money, save, pimp, boxer, meantime, earlier, tournament, cure, heal, box, prostitute, angel, draw, beat, process, kidnap"
"star, pony, campbell, bull, enthusiastic, excitement, tap, participate, express, contest, compete, quick, sing, song, range, park, activity, classic, rid, farm"
"vehicle, game, arena, mode, battle, team, item, competitor, map, global, replace, online, defend, progress, skill, weapon, hero, capture, unique, class"
"oil, gas, price, station, crisis, player, economic, model, line, attempt, real, intervention, graphic, demonstrate, fix, profit, mid, potential, complicate, executive"
"player, brand, china, sneaker, team, publicity, absorb, selfish, foul, league, stunt, tall, basketball, arrogant, shoe, label, decline, hungry, sale, shake"
"character, self, illness, hell, evil, damn, mortal, usual, bore, descend, fighting, entertain, tournament, pit, usually, prize, routine, inner, murderer, physical"
"raghuveer, ravi, brother, ram, injustice, honest, professor, falsely, verma, villain, accuse, minister, bond, murder, chief, fight, beat, prison, arrest, watch"
"suraj, arun, brother, arrest, enrage, shankar, commissioner, tape, dig, crime, minister, reporter, avenge, assistant, corrupt, police, justice, prison, criminal, shakti"
"suraj, inspector, sharma, police, wife, raj, father, deceit, strip, warm, imprison, honor, inform, frame, title, honest, killing, trail, web, brutal"
"murderer, victim, blake, child, murdered, miami, corpse, chain, newspaper, assist, investigation, suffer, teacher, kidnap, suspect, appear, agent, killer, save, police"
"heaven, earth, pant, snake, child, chan, respective, jackie, fu, slaughter, deliver, pair, male, chase, twenty, figure, entire, hunt, eventually, guy"
"ganga, singh, pooja, vikram, ajay, testify, thakur, bandit, marriage, marry, wounded, blessing, dreaded, police, hideout, dot, accepts, name, rampage, kumar"
"criminal, dead, femme, headquarters, graveyard, equip, city, abandoned, residence, costume, fatal, bind, advantage, pit, suit, regular, assassination, mask, hat, department"
"artifact, jack, company, harper, drake, council, headquarters, sand, francis, sir, billion, route, motif, lost, conspiracy, kong, adam, hong, treasure, trace"
"expedition, research, company, send, burke, log, carter, egg, cargo, departure, advanced, craft, outbreak, colony, breed, confirm, response, harvest, manages, transport"
"radha, immature, tiger, smuggler, affection, naive, vow, deliver, fighter, pack, martial, skill, master, justice, identity, train, hard, revenge, art, join"
"shao, kahn, realm, earth, reclaim, revive, squad, tournament, queen, soul, liu, partially, extend, chosen, wouldn, dimension, resurrect, billion, roam, protection"
"alien, michael, game, attempt, arcade, spill, weakness, random, acquaintance, quarter, upset, invisible, average, intent, content, dump, guilty, restore, angry, machine"
"wind, warrior, location, hero, travel, weight, load, device, sun, object, tough, step, charge, earth, fire, enemy, light, protect, evil, call"
"raghu, malti, raju, mathur, criminal, inspector, reward, truck, police, mother, reform, society, leave, theme, link, truly, survival, claim, refuse, arrest"
"yakuza, reform, release, school, wannabe, auto, fateful, collision, repair, girl, classmate, clan, try, graduate, vengeance, bloody, shop, ill, tough, crash"
"shiva, wasn, town, deadly, sinha, secret, enters, kumar, inhabitant, redemption, terrorize, mafia, pretty, object, desperately, wedding, love, ruthless, politician, stumble"
"vicky, guy, village, honour, tycoon, railway, runaway, eldest, father, rip, loser, lucky, odds, nice, temple, conduct, pursuit, whatever, treat, luck"
"jordan, parker, secret, fool, interrupt, pretty, vengeance, whatever, agency, edge, push, weapon, choice, choose, light, protect, top, don, dark, age"
"cody, focus, decision, trouble, look, rebuild, retired, leave, ahead, try, blow, straight, ultimate, avoid, tragic, pick, prepare, haunt, issue, guy"
"stunt, guy, park, ransom, mercenary, theme, hostage, aside, tech, unite, hate, thrill, bad, fake, real, difference, president, defeat, skill, demand"
"villager, treasure, local, richie, blessing, mechanic, annual, participate, intertwine, folk, boat, destruction, celebration, multiple, thug, narrative, christmas, recover, unfold, affect"
"suraj, aarti, vijay, ashok, inspector, love, guy, crime, imprison, skill, fall, death, teach, arrest, meet, law, grow, sister, hand, acting"
"justin, immigrant, fight, force, port, labour, town, cage, slave, life, combat, stake, ruthless, quiet, underground, illegal, unfortunately, generation, worker, instead"
"stash, female, crime, lewis, beating, assailant, fat, thug, didn, trail, stumble, stick, lifestyle, neighborhood, serve, commit, kid, alive, sell, prison"
"debbie, detective, cooper, washington, drug, hard, erik, harvey, colombian, attempted, nonsense, sour, police, mortal, diplomat, kingpin, financially, prostitution, embarks, lucrative"
"invader, treasure, chinese, amongst, collection, type, japanese, expert, consider, piece, national, process, sell, society, power, stop, hand, war, movie, happen"
"god, chi, zero, mortal, sub, shao, kahn, escape, shaolin, burst, feud, repeat, recount, heaven, realm, civilization, seize, exile, obtain, tournament"
"numerous, officer, unsuspecting, swing, cab, closely, respective, mumbai, airport, subsequently, terminal, explosion, heavily, kill, taxi, muslim, ocean, boat, restaurant, associate"
"brett, action, drug, awesome, amsterdam, stretch, utilize, pimp, entertaining, load, hip, crack, dvd, eastern, jason, thrill, hostage, sexy, ring, network"
"briefcase, drug, liquor, crooked, clown, jay, metal, heist, equally, sale, possession, aware, explosive, difficulty, rent, none, flee, dealer, store, earn"
"wrestling, wrestler, skull, bum, backyard, wire, crown, feud, dive, rampage, mask, dirty, table, warrior, sam, extreme, champion, goal, office, violent"
"singer, martial, rock, art, expert, guy, attack, deranged, superstar, replace, mob, defend, willing, mental, manager, fan, legend, cop, female, protect"
"vishnu, college, kill, film, trouble, don, sister, woo, ram, shiva, city, verma, havoc, occasion, residence, comment, debut, credit, maker, try"
"rain, steel, partner, pair, fred, respond, murdered, city, billy, smith, retirement, speed, intend, shift, mexico, mike, finish, david, quest, simple"
